Rank,Title,Artist,Lyrics,Genre
81,No One Noticed,The Marias,['Pop'],"31 ContributorsTranslationsTürkçeEspañolNo One Noticed Lyrics[Verse 1]
Maybe I
Lost my mind
No one noticed
No one noticed

[Chorus]
It's getting old (I'd kinda like it if you'd call me)
All alone ('Cause I'm so over bein' lonely)
May have lost it (I need a virtual connection)
I have lost it (Be my video obsession)

[Verse 2]
No one tried
To read my eyes
No one but you
Wish it weren't true
[Chorus]
Maybe I (I'd kinda like it if you'd call me)
It's not right ('Cause I'm so over bein' lonely)
Make you mine (I need a virtual connection)
Take our time (Be my video obsеssion)

[Refrain]
Come on, don't leave mе, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city excited to see your face
Hold me, console me, and then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city excited to see your face
Hold me, console me, then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city excited to see your face
Hold me, console me, and then I'll leave without a trace (Maybe I)
Come on, don't leave me, it can't be that easy, babe (It's not right)
If you believe me, I guess I'll get on a plane (Make you mine)
Fly to your city excited to see your face (Take our time)
Hold me, console me and then I'll leave without a trace
You might also like[Chorus]
I'd kinda like it if you'd call me (It's not right)
'Cause I'm so over bein' lonely (Make you mine)
I need a virtual connection (Take our time)
Be my video obsession3Embed"
82,Teflon Don,Future,"['In English', 'USA', 'Atlanta Rap', 'Southern Rap', 'Trap', 'Hip-Hop', 'Rap']","42 ContributorsTranslationsEspañolFrançaisTEFLON DON Lyrics[Pre-Chorus]
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Beat the first case like John Gotti, woah
Beat the first case like

[Chorus]
Beat the first case like John Gotti
Anything you want, my dogs got
Bitch, I'm a boss, I call shot
Spread a few bands at the raw spot (Boy, you been)

[Verse]
Got the rock poppin' at the hotel
Ready, run a play for a whole bail (How you get—)
'Fore it hit the plate, make the house smell
Throwin' up trays and Margiela
Once I'm in the chain, need an Advil (Freebandz, nigga)
Motion on motion, that's how I feel
Came from the field, I'ma crash first (Fuck all the opps)
Makе your mama cry, gotta hit her where it hurts (Grrt, grrt)
Thеy come from my side, they gon' shoot up the church
From nine to five, got nine goin' bezerk (Ayy, say gang)
I'm goin' on a mission, I'm stayin' alert
I'm the man on the streets, chop the top off the vert (Plutoski)
Bitch, you feelin' me? Bitch, I'm feelin' me too, got the energy
Turn a ho on a stroll out in Tennessee
I control all the motion, it been beneath
Really crunk up the shit, talkin' V-nee-nee
All my bitches be turnt, that Cha-nee-nee
I got stripes on the turf, ain't no kiddin' me
Got my ice on the dirt, is you shittin' me?
Got the load on the boat, dropped the pin in it
Hit the nitro, the motor, I'm pushin' it (Freebandz)
I don't want a recorder, two hundred me
I'm on top of this shit, killers under me
Might just fuck up the money on a tragedy
You put bread on a dummy for threatenin' me (Murk)
Put that tape on a drummy and press delete
He was drivin', his brain was sittin' on the seat
I fly dope out the country to Treasure Tree (Woo)
I been flyer than a pilot, I got the key
Fuck it, put them narcotics back on the street
Run the block, we gon' snatch you a Cuban link (Ski)
Tote two Dracos on me 'cause the trench in me (Ski)
Hear my chains when they clank 'cause I'm turnin' up (Freebandz)
See the money you get, I be burnin' up
That's a forty on the fit, I put on the stuff (Slatt)
I went out and went got it when time was tough (Slatt)
I whooped up a Bugatti, this one for Chuck
Free my brothers forever, it's only us
Ain't no love for the others, we set 'em up
Grrt, grrt, ski
You might also like[Pre-Chorus]
Plutoski, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Beat the first case like John Gotti, woah
Beat the first case like

[Chorus]
Beat the first case like John Gotti
Anything you want, my dogs got
Bitch, I'm a boss, I call shot
Spread a few bands at the raw spot (MIXTAPE PLUTO)

[Outro]
Yeah, yeah, ski
Yeah, yeah, ski
Ski
MIXTAPE PLUTO5Embed"
83,Apple,Charli xcx,"['Alternative', 'England', 'Glitch', 'Synthwave', 'Synth-Pop', 'Electro-Pop', 'Electronic', 'Dance-Pop', 'Dance', 'In English', 'UK Pop', 'UK', 'Pop']","99 ContributorsTranslationsPolskiTürkçeEspañolHebrewРусскийItalianoFrançaisPortuguêsΕλληνικάDeutschApple Lyrics[Verse 1]
I guess the apple don't fall far from the tree
'Cause I've been looking at you so long
Now I only see me
I wanna throw the apple into the sky
Feels like you never understand me
So I just wanna drive
To the airport, the airport
The airport, the airport

[Verse 2]
I guess the apple could turn yellow or green
I know there's lots of different nuances
To you and to me
I wanna grow the apple, keep all the seeds
But I can't help but get so angry
You don't listen, I leave
To the airport, the airport
The airport, the airport
The airport, the airport
The airport, the airport

[Interlude]
(Yeah, yeah)
I'm gonna drive, gonna drive all night
I'm gonna drive, gonna drive all night
See Charli xcx LiveGet tickets as low as $30You might also like[Verse 3]
I think the apple's rotten right to the core
From all the things passed down
From all the apples coming before
I split the apple down symmetrical lines
And what I find is kinda scary
Makes me just wanna drive
(Drive, drive, drive, dr-dr-dr-drive, drive, drive)
(I'm gonna drive, gonna drive all night)
(I'm gonna drive, gonna drive all night)
(Drive, drive, drive, dr-dr-dr-drive, drive)

[Outro]
I wanna know where you go
When you're feeling alone
When you're feeling alone, do you?
I wanna know where you go
When you're feeling alone
When you're feeling alone, do you?
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you)7Embed"
84,Thick Of It,KSI Featuring Trippie Redd,"['UK Rap', 'Comedy', 'Meme Rap', 'UK Pop', 'Rap', 'Midwest Rap', 'In English', 'USA', 'England', 'Pop Rap', 'UK', 'Pop']","202 ContributorsTranslationsDeutschPortuguêsThick Of It Lyrics[Chorus: KSI]
I'm in the thick of it, everybody knows
They know me where it snows, I skied in and they froze
I don't know no nothin' 'bout no ice, I'm just cold
Forty somethin' milli' subs or so, I've been told

[Verse 1: KSI]
I'm in my prime, and this ain't even final form
They knocked me down, but still, my feet, they find the floor
I went from living rooms straight out to sold-out tours
Life's a fight, but trust, I'm ready for the war

[Pre-Chorus: KSI]
Woah-oh-oh
This is how the story goes
Woah-oh-oh
I guess this is how the story goes

[Chorus: KSI]
I'm in the thick of it, everybody knows
They know me where it snows, I skied in and they froze
I don't know no nothin' 'bout no ice, I'm just cold
Forty somethin' milli' subs or so, I'vе been told

[Verse 2: KSI]
From the screen to the ring, to the pеn, to the king
Where's my crown? That's my bling
Always drama when I ring
See, I believe that if I see it in my heart
Smash through the ceiling 'cause I'm reaching for the stars
You might also like[Pre-Chorus: KSI]
Woah-oh-oh
This is how the story goes
Woah-oh-oh
I guess this is how the story goes

[Chorus: KSI & Trippie Redd]
I'm in the thick of it, everybody knows
They know me where it snows, I skied in and they froze (Woo)
I don't know no nothin' 'bout no ice, I'm just cold
Forty somethin' milli' subs or so, I've been told

[Verse 3: Trippie Redd, KSI, Trippie Redd & KSI]
Highway to heaven, I'm just cruisin' by my lone'
They cast me out, left me for dead, them people cold
My faith in God, mind in the sun, I'm 'bout to sow (Yeah)
My life is hard, I took the wheel, I cracked the code (Yeah-yeah, woah-oh-oh)
Ain't nobody gon' save you, man, this life will break you (Yeah, woah-oh-oh)
In the thick of it, this is how the story goes

[Chorus: KSI, Trippie Redd, KSI & Trippie Redd]
I'm in the thick of it, everybody knows
They know me where it snows, I skied in and they froze (Woo)
I don't know no nothin' 'bout no ice, I'm just cold
Forty somethin' milli' subs or so, I've been told
I'm in the thick of it, everybody knows (Everybody knows)
They know me where it snows, I skied in and they froze (Yeah)
I don't know no nothin' 'bout no ice, I'm just cold
Forty somethin' milli' subs or so, I've been told (Ooh-ooh)
[Outro: KSI, KSI & Trippie Redd]
Woah-oh-oh (Nah-nah-nah-nah, ayy, ayy)
This is how the story goes (Nah, nah)
Woah-oh-oh
I guess this is how the story goes8Embed"
85,Hollon,GloRilla,"['Hip-Hop', 'Southern Rap', 'Dirty South', 'Memphis Rap', 'Rap', 'USA', 'In English']","20 ContributorsHOLLON Lyrics[Chorus]
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho

[Verse 1]
Ho, you must not know what you just started (Fuck)
Me and my bitches go gnarly
Give a fuck about this party
We gon' step on shit regardless (Stamp that)
Get my goons, swipe that bitch, and now dispute the charges (On gang)
Makin' music, beatin' on bitches, I be really marchin' (Woo)
I got hands for a ho, I get bands for a show
He want chance after chance, after chance, nigga, no (Uh-uh)
I keep sayin', ""Free Lil Four""
Do my dance on them folks
If it's up, it's goin' down soon as I land on them folks

[Chorus]
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho

[Verse 2]
I-I-I-I do what I want, I'm pressure (Pressure)
Don't follow the rules, I'm rebel (No)
I stand out, bitch, I'm special (Ayy)
I'm a stand up bitch like Kevin (On God)
You a bum-ass bitch, you messy (Messy)
Don't start with me, bitch, I'm petty (Ho)
Linе any bitch up, I'm ready
I don't pick and choose, it's up with whoevеr
All my, all my diamonds cert' (Ice)
And all these members certi' too
Smilin' at my nigga? Ho
Knock out all your thirty-two (Bum-ass)
C8 doors open up for me
Hear the engine vroom (Vroom)
Switch to sport
I got somewhere to be, lil' baby, I'm important (On gang)
See GloRilla LiveGet tickets as low as $86You might also like[Chorus]
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho

[Verse 3]
Glock .19, it came with a drum, yeah, that's my favorite gun (Bop)
Asked if he my only nigga, I said, ""No, but you my favorite one"" (Nah, for real)
Yeah, rare-ass bitch, nigga, I'm one of one (Fuck you mean?)
Nah, I can't make you mines, but I can make you cum
Freak up in the sheets, in them streets, baby, I'm a thug
I just threw ten-thousand-somethin' ones in this fuckin' club (Huh, hoo)
I'm poppin' it so hard 'cause I ain't used to shit (I ain't used to shit)
These niggas ain't got no type, they want a stupid bitch (On gang)

[Chorus]
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho
Ayy, hol' on, ho, hol' on, hol' on, hol' on, ho1Embed"
86,Liar,Jelly Roll,"['In English', 'USA', 'Country']","8 ContributorsTranslationsУкраїнськаLiar Lyrics[Verse 1]
I, I let you drive around my mind
I can't count the times you made me feel like I'm nothin'
Played me like a fool, like a fool

[Pre-Chorus]
Saying, ""Drink another whiskey
Pop another pill
Money makes you happy
Heaven isn't real
You won't find nobody to love
Because your heart's too broke""
Now I know

[Chorus]
You ain't nothin' but a liar
Yeah, I walk right out the fire
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liar
See Jelly Roll LiveGet tickets as low as $45You might also like[Verse 2]
You burned me one too many times
Like a devil in disguise, hiding your true colors
Just leave me alone
Keep leading me on

[Pre-Chorus]
Saying, ""Drink another whiskey
Pop another pill
Money makes you happy
Heaven isn't real
You won't find nobody to love
Because your heart's too broke""
Now I know

[Chorus]
You ain't nothin' but a liar
Yeah, I walk right out the fire
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liar
[Bridge]
If I was doin' what you do
Then you would swear I poisoned you

[Chorus]
You're nothing but a liar (Liar)
Yeah, I walk right out the fire (Fire)
Yeah, you try to keep me down
Try to put me underground
But I'm only going higher
I can hear you in my head
In my bed when I'm dreaming
You try to be my friend
But you're blowing smoke
Oh, and now, I ain't scared of
Tellin' you where you can go
'Cause I know
You're nothing but a liarEmbed"
87,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI","['Singer-Songwriter', 'Conscious Hip-Hop', 'Trap', 'Pop Rap', 'Rap', 'UK Rap', 'UK Pop', 'England', 'UK', 'Nigeria', 'Palestinian - فلسطيني', 'Middle East', 'Argentina', 'In English', 'Pop']","11 ContributorsTranslationsDanskItalianoWE PRAY Lyrics[Intro: Little Simz, Elyanna, Chris Martin & Burna Boy]
Woah
Oh
And so we pray
Ooh

[Verse 1: Chris Martin]
I pray that I don't give up, pray that I do my best
Pray that I can lift up, pray my brother is blessed
Praying for enough, pray Virgilio wins
Pray I judge nobody and forgive me my sins
I pray we make it, pray my friend will pull through
Pray as I take it unto others, I do
Praying on your love, we pray with every breath
Though I'm in the valley of the shadow of death

[Chorus: Chris Martin, Chris Martin & Little Simz, Burna Boy]
And so we pray
For someone to come and show me the way
And so we pray
For some shelter and some records to play
And so we pray
We'll be singing ""Baraye""
Pray that we make it to thе end of the day
And so we pray
I know somеwhere that Heaven is waitin'
And so we pray
I know somewhere there's something amazin'
And so we pray
I know somewhere we'll feel no pain
Until we make it to the end of the day
You might also like[Verse 2: Little Simz, Chris Martin & Little Simz, Burna Boy]
I pray that love will shelter us from our fears
Oh, I pray you trust to let me wipe off your tears
Confront all the pain that we felt inside
With all the cards we been dealt in life
Pray I speak my truth and keep my sisters alive
So for the ones who parted seas (Ah, yeah)
For the ones who's followin' dreams (Ah, yeah)
For the ones who knocked down doors (Ah, yeah)
And allowed us to pass down keys (Ah, yeah)
Pray that we speak with a tongue that is honest
And that we understand how to be modest
Pray when she looks at herself in the mirror
She sees a queen, she sees a goddess

[Chorus: Chris Martin, Chris Martin & Little Simz, Burna Boy]
And so we pray
For someone to come and show me the way
And so we pray
For some shelter and some records to play
And so we pray
We'll be singin' ""Baraye""
Pray that we make it to the end of the day
And so we pray
I know somewhere that Heaven is waitin'
And so we pray
I know somewhere there's something amazin'
And so we pray
I know somewhere we'll feel no pain
Until we make it to the end of the day
[Bridge: Burna Boy]
On my knees, I pray, as I sleep and wake
'Cause inside my head is a frightening place
Keep a smiling face, only by His grace
'Cause love's more than I can take, hey

[Chorus: Chris Martin & Little Simz, Elyanna, Burna Boy, Chris Martin, Elyanna & TINI]
And so we pray
And so we pray
And so we pray
And so we pray
And so we pray
We'll be singin' ""Baraye""
Till nobody's in need and everybody can say (Oh)

[Post-Chorus: Choir, Little Simz, Burna Boy, Burna Boy & Choir]
La-la-la, la-la, la-la (La-la)
La-la-la, la-la, la-la (La-la-la, la)
La-la-la, la-la, la-la (Sing it to me)
La-la-la, la-la, we pray, we pray
La-la-la, la-la, la-la (I know somewhere that Heaven is waitin', is waitin')
La-la-la, la-la, la-la (I know somewhere there's something amazin', something amazin')
La-la-la, la-la, la-la (Until we feel no pain)
La-la-la, la-la, we pray, we pray

[Outro: Chris Martin & Choir]
La-la-la, la-la, la-la
La-la-la, la-la, la-la
La-la-la, la-la, la-la
La-la-la, la-la, we pray, we pray, we pray1Embed"
88,Fix What You Didn't Break,Nate Smith,"['USA', 'In English', 'Country Rock', 'Country']","3 ContributorsFix What You Didn’t Break Lyrics[Verse 1]
I was a ten-year train wreck
With a last-call longneck
I was searchin', I'd been hurt real bad
Movin' on, gettin' sidetracked
One step forward and five back
Not your fault, I was scared to fall

[Pre-Chorus]
And I don't know why
Why you saw somethin' in me, baby
Girl, but you saw right through
All the pain, and you came and saved me

[Chorus]
Yeah, I know you didn't leave me lonely
Weren't the one that put the heartbreak on me
Picked up the pieces
It wasn't the mess that you made
Could've left me just the way you found me
But you came and put your wings around me
Girl, you went out of your way
To fix what you didn't break

[Verse 2]
You were the star in the pitch black
Shine the way on the way back
Out of nowhere, answered all my prayers
Picked up the towel that I threw in
Took in a heart that was ruined
Showed me the past ain't a tattoo
Loved me, even when you didn't have to
See Nate Smith LiveGet tickets as low as $17You might also like[Chorus]
Yeah, I know you didn't leave me lonely
Weren't the one that put the heartbreak on me
Picked up the pieces
It wasn't the mess that you made
Could've left me just the way you found me
But you came and put your wings around me
Girl, you went out of your way
To fix what you didn't break
To fix what you didn't break

[Bridge]
And I don't know why
Why you saw somethin' in me, baby
Girl, but you saw right through
All the pain, and you came and saved me

[Chorus]
Yeah, I know you didn't leave me lonely
Weren't the one that put the heartbreak on me
Picked up the pieces
It wasn't the mess that you made
Could've left me just the way you found me
But you came and put your wings around me
Girl, you went out of your way
To fix what you didn't break
To fix what you didn't breakEmbed"
89,Coincidence,Sabrina Carpenter,"['Alternative Pop', 'Sunshine Pop', 'Folk Rock', 'Country Pop', 'Country', 'Folk Pop', 'Folk', 'Singer-Songwriter', 'In English', 'USA', 'Pop']","41 ContributorsTranslationsEspañolPortuguêsСрпскиTiếng ViệtPolskiFrançaisTürkçeБеларускаяУкраїнськаРусскийΕλληνικάItalianoМакедонскиDeutschCoincidence Lyrics[Intro]
(One, two, a-one, two, three, woo)

[Verse 1]
The second I put my head on your chest
She knew, she's got a real sixth sense
Now her name comes up once, then it comes up twice
And without her even bein' here, she's back in your life
Now she's in the same damn city on the same damn night

[Chorus]
And you've lost all your common sense
What a coincidence

[Post-Chorus]
Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na

[Verse 2]
Last week, you didn't have any doubts
This week, you're holdin' space for her tongue in your mouth
Now shе's sendin' you some pictures wеarin' less and less
Tryna turn the past into the present tense, huh
Suckin' up to all of your mutual friends

[Chorus]
And you've lost all your common sense (You've lost all your common sense)
The way you told me the truth, minus seven percent (Uh, minus seven percent)
What a coincidence, uh
See Sabrina Carpenter LiveGet tickets as low as $105You might also like[Post-Chorus]
Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na
Na-na-na-na, na-na-na-na
Na-na-na-na, na-na-na-na

[Bridge]
What a surprise, your phone just died
Your car drove itself from L.A. to her thighs
Palm Springs looks nice, but who's by your side?
Damn it, she looks kinda like the girl you outgrew
Least that's what you said (That's what you said)

[Chorus]
What a coincidence
Oh  wow, you just broke up again
What a coincidence

[Outro]
Oh, na-na, na-na-na-na (Coincidence)
Oh, na-na, na-na-na-na (Coincidence)
Na-na-na-na, na-na-na-na (Coincidence)
Na-na-na-na, na-na-na-na (Coincidence)4Embed"
90,Close To You,Gracie Abrams,"['Alternative Pop', 'Alternative', 'New Wave (Rock)', 'Synthwave', 'Dance-Pop', 'Dance', 'Teen Pop', 'Synth-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']","49 ContributorsTranslationsDeutschEspañolPortuguêsTürkçePolskiClose To You Lyrics[Intro]
(Close to you)
(Close to you)

[Verse 1]
I don't got a single problem with provocative
See the bodies, how they burn, it's just the way it is
Smoky, dark, crowded room, I need nothing
Under pink light in June (Ahh)
I was so cool, but then, all of a sudden
You saw me look at you

[Pre-Chorus]
I burn for you
And you don't even know my name
If you asked me to
I'd give up everything

[Chorus]
To be close to you
Pull the trigger on the gun I gave you when we met
I wanna be close to you
Break my heart and start a fire, you got me overnight
Just let me be

[Post-Chorus]
Close to you, close to you, close to you
(Just let me be) Oh, close to you, close to you, close to you
See Gracie Abrams LiveGet tickets as low as $76You might also like[Verse 2]
And now your mouth is moving, cinematic timing
You pull me in and touch my neck, and now I'm dying
You should be mine for life, I'll be signing
Every dotted line (Ahh)
Chemical override, ultraviolet
You could be mine tonight

[Pre-Chorus]
And I burn for you
And you don't even know my name
If you asked me to
I'd give you everything

[Chorus]
To be close to you
Pull the trigger on the gun I gave you when we met
I wanna be close to you
Break my heart and start a fire, you got me overnight
Just let me be

[Post-Chorus]
Close to you, close to you, close to you
(Just let me be) Oh, close to you, close to you, close to you

[Bridge]
I burn for you
Mm
[Chorus]
To be close to you
Pull the trigger on the gun I gave you when we met
I wanna be close to you
Break my heart and start a fire, you got me overnight
Just let me be

[Post-Chorus]
Close to you (To you), close to you (To you)
Close to you (To you, just let me be close)
Oh, close to you (Ooh), close to you (To you)
Close to you (Just let me be)
Oh, close to you (Ahh), close to you (Ahh)
Close to you (Just let me be)

[Outro]
Oh, close to you, close to you
Close to you6Embed"
91,Sharpest Tool,Sabrina Carpenter,"['Ambient Pop', 'Ambient', 'Bubblegum Pop', 'Electro-Pop', 'Experimental Folk', 'Alternative Dance', 'Synth-Pop', 'Dance-Pop', 'Bubblegum Dance', 'Drum & Bass', 'Electronic', 'Folktronica', 'Ballad', 'Bubblegum Bass', 'Dance', 'Alternative', 'Alternative Pop', 'Folk Pop', 'Folk', 'Singer-Songwriter', 'In English', 'USA', 'Pop']","59 ContributorsTranslationsTiếng ViệtPolskiEspañolСрпскиPortuguêsCatalàTürkçeБеларускаяУкраїнськаРусскийΕλληνικάFrançaisItalianoМакедонскиDeutschSharpest Tool Lyrics[Verse]
I know you're not
The sharpest tool in the shed
We had sex, I met your best friends
Then a bird flies by and you forget
I don't hear a word
'Til your guilt creeps in
On a Tuesday, send a soft ""hey""
As if you really don't recall the time

[Pre-Chorus]
We were goin' right, then you took a left
Left me with a lot of shit to second-guess
Guess I'll waste another year on wonderin' if
If that was casual, then I'm an idiot
I'm lookin' for an answer in-between the lines
Lyin' to yourself if you think we'rе fine
You're confused and I'm upsеt, but

[Chorus]
We never talk about it
We never talk about it
We never talk about it

[Bridge]
All the silence just makes it worse, really
'Cause it leaves you so top-of-mind for me
All the silence is just your strategy
'Cause it leaves you so top-of-mind for me
See Sabrina Carpenter LiveGet tickets as low as $105You might also like[Refrain]
We never talk about how you
Found God at your ex's house, always
Made sure that the phone was face-down
Seems like overnight, I'm just the bitch you hate now
We never talk it through
How you guilt-tripped me to open up to you
Then you logged out, leavin' me dumbfounded, oh-oh

[Pre-Chorus]
We were goin' right, then you took a left
Left me with a lot of shit to second-guess
Guess I'll waste another year on wonderin' if
If that was casual, then I'm an idiot
I'm lookin' for an answer in-between the lines
Lyin' to yourself if you think we're fine
You're confused and I'm upset, but

[Chorus]
We never talk about it (We don't talk about it, we don't talk about it)
We never talk about it (We don't talk about it, talk, talk, talk about it)
We never talk about it (We don't talk about it, we don't talk about it)
(We don't talk about it, we don't talk about it)

[Refrain]
We never talk about how you
Found God at your ex's house, always
Made sure that the phone was face-down
Seems like overnight, I'm just the bitch you hate now
We never talk it through
How you guilt-tripped me to open up to you
Then you logged out, leavin' me dumbfounded, oh-oh
[Outro]
We don't talk about it, we don't talk about it (We never talk about it)
We don't talk about it, talk, talk, talk about it (We never talk about it)
We don't talk about it, we don't talk about it (We never talk about it)
We don't talk about it, we don't talk about it4Embed"
92,Chevrolet,Dustin Lynch Featuring Jelly Roll,"['USA', 'In English', 'Duet', 'Country']","7 ContributorsChevrolet Lyrics[Verse 1: Dustin Lynch]
She was dressed to kill, I was in my boots
So I had her pegged for the uptown type, yeah
But we talked for a while in a corner booth
Before closin' time, she caught me by surprise

[Chorus: Dustin Lynch]
When she said, ""Give me a dirt road, the windows down
Wanna get lost on the edge of town in your Chevrolet""
She said, ""Give me a six-pack, some Brooks & Dunn
If you want a country girl, you just found one, let's slip away""
Yeah, ""In your Chevrolet""

[Verse 2: Jelly Roll]
I think I fell in love right then and thеre
We werе out the door before the end of the song
I said, ""Where to?"" She said, ""I don't care
Just don't take me home, what you waitin' on?""

[Chorus: Dustin Lynch, Jelly Roll]
""Just give me a dirt road, the windows down
Wanna get lost on the edge of town in your Chevrolet""
She said, ""Give me a six-pack, some Brooks & Dunn
If you want a country girl, you just found one, let's slip away""
Yeah, ""In your Chevrolet
Let's ride, ""In your Chevrolet""
See Dustin Lynch LiveGet tickets as low as $198You might also like[Bridge: Dustin Lynch, Jelly Roll]
Lord knows I been prayin' for the day
A girl like her would say

[Chorus: Dustin Lynch, Jelly Roll]
""Just give me a dirt road, the windows down
Wanna get lost on the edge of town in your Chevrolet"" (In your Chevrolet)
She said, ""Give me a six-pack, some Brooks & Dunn
If you want a country girl, you just found one, let's slip away (Let's slip away)
In your Chevrolet"" (Ooh)
She said, ""Give me a dirt road, the windows down
Wanna get lost on the edge of town in your Chevrolet
Give me a six-pack, some Brooks & Dunn
If you want a country girl, you just found one, let's slip away
In your Chevrolet"" (Oh woah)

[Outro: Dustin Lynch, Jelly Roll]
Oh, ""In your Chevrolet""
""In your Chevrolet""Embed"
93,Worst Way,Riley Green,"['In English', 'USA', 'Country']","5 ContributorsWorst Way Lyrics[Verse 1]
Tonight, I ain't bringin' no wine
Tonight, I ain't bringin' no roses
Talkin' would take too much time
I think I just better show you
Just turn the lights down, let's get right down to it
Soon as I walk in the door
I don't wanna be out of line
But, girl, I can't wait anymore

[Chorus]
I want you in the worst way
My hands are needin' your hips
Want the first taste
Of whiskey to be off your lips
So close all the blinds, lock all the doors
Put away anything that'll break
Baby, I need you tonight
Let's see how much love we can make
I want you in the worst way

[Verse 2]
Baby, that don't mean that I
Don't love to go wine and dine you
That ain't on the menu tonight
'Cause I think I need to remind you
That your skin on my skin
Feels just like heaven to me
You look like an angel tonight
But you might wanna slip off those wings
See Riley Green LiveGet tickets as low as $65You might also like[Chorus]
I want you in the worst way
My hands are needin' your hips
Want the first taste
Of whiskey right off of your lips
So close all the blinds, lock all the doors
Put away anything that'll break
Baby, I need you tonight
Let's see how much love we can make
I want you in the worst way
I want you in the worst way

[Chorus]
I want you in the worst way
My hands are needin' your hips
Want the first taste
To be whiskey right off of your lips
So close all the blinds, lock all the doors
Put away anything that'll break
Baby, I need you tonight
Let's see how much love we can make
I want you in the worst way
I want you in the worst way

[Outro]
The worst wayEmbed"
